step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
151,'C1975392482','2','F','28007','M1946091778','28007','es_wellnessandbeauty',52.94,0
151,'C1038733568','2','M','28007','M85975013','28007','es_food',61.93,0
151,'C480669012','5','F','28007','M348934600','28007','es_transportation',66.88,0
151,'C570277915','2','F','28007','M348934600','28007','es_transportation',53.22,0
151,'C22920054','3','M','28007','M1823072687','28007','es_transportation',13.53,0
151,'C1453917071','5','F','28007','M1823072687','28007','es_transportation',61.4,0
151,'C801383032','3','M','28007','M1823072687','28007','es_transportation',43.13,0
151,'C438541016','1','M','28007','M348934600','28007','es_transportation',52.86,0
151,'C1612748385','2','F','28007','M1823072687','28007','es_transportation',22.55,0
151,'C15485686','6','F','28007','M348934600','28007','es_transportation',39.39,0
151,'C1354799046','3','M','28007','M1823072687','28007','es_transportation',21.84,0
151,'C1648145906','2','F','28007','M1823072687','28007','es_transportation',34.24,0
151,'C900612785','3','M','28007','M1823072687','28007','es_transportation',42.76,0
151,'C1090528803','3','F','28007','M1823072687','28007','es_transportation',46.34,0
151,'C235397460','2','M','28007','M1823072687','28007','es_transportation',50.79,0
151,'C813128680','2','M','28007','M348934600','28007','es_transportation',18.05,0
151,'C38227648','2','M','28007','M348934600','28007','es_transportation',57.56,0
151,'C38227648','2','M','28007','M1823072687','28007','es_transportation',6.52,0
151,'C668875156','3','F','28007','M1823072687','28007','es_transportation',21.44,0
151,'C299068475','5','F','28007','M1823072687','28007','es_transportation',30.52,0
151,'C1897705669','2','M','28007','M1823072687','28007','es_transportation',49.29,0
151,'C1043677034','2','M','28007','M348934600','28007','es_transportation',6.53,0
151,'C20239039','2','F','28007','M348934600','28007','es_transportation',30.38,0
151,'C1350793893','1','M','28007','M1823072687','28007','es_transportation',32.14,0
151,'C395508885','4','M','28007','M1823072687','28007','es_transportation',1.57,0
151,'C964866248','4','M','28007','M1823072687','28007','es_transportation',12.99,0
151,'C995844287','5','F','28007','M1823072687','28007','es_transportation',20.57,0
151,'C1051712338','4','M','28007','M1823072687','28007','es_transportation',48.12,0
151,'C347453747','5','F','28007','M1053599405','28007','es_health',136.13,0
151,'C347453747','5','F','28007','M1913465890','28007','es_health',121.04,0
151,'C268686998','3','M','28007','M85975013','28007','es_food',68.44,0
151,'C429242189','1','F','28007','M85975013','28007','es_food',11.1,0
151,'C75274383','4','M','28007','M1823072687','28007','es_transportation',15.35,0
151,'C138445718','3','M','28007','M1823072687','28007','es_transportation',0.04,0
151,'C377517197','3','F','28007','M1823072687','28007','es_transportation',30.72,0
151,'C1934785516','2','F','28007','M1823072687','28007','es_transportation',11.25,0
151,'C44151986','1','F','28007','M1823072687','28007','es_transportation',10.16,0
