step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
29,'C1167781928','6','M','28007','M348934600','28007','es_transportation',34.47,0
29,'C1177926954','2','M','28007','M547558035','28007','es_fashion',94.92,0
29,'C822689044','2','M','28007','M1823072687','28007','es_transportation',48.73,0
29,'C1296664552','3','M','28007','M348934600','28007','es_transportation',4.84,0
29,'C573104116','4','M','28007','M348934600','28007','es_transportation',48.3,0
29,'C1088768738','2','F','28007','M348934600','28007','es_transportation',19.84,0
29,'C1088768738','2','F','28007','M1823072687','28007','es_transportation',10.52,0
29,'C484268062','3','F','28007','M85975013','28007','es_food',97.06,0
29,'C1469453217','1','F','28007','M348934600','28007','es_transportation',19.1,0
29,'C371570992','6','M','28007','M348934600','28007','es_transportation',12.59,0
29,'C2092526272','6','F','28007','M348934600','28007','es_transportation',13.53,0
29,'C1645579872','5','F','28007','M348934600','28007','es_transportation',42.14,0
29,'C399061526','2','F','28007','M1823072687','28007','es_transportation',28.68,0
29,'C1977646698','3','F','28007','M1053599405','28007','es_health',33.72,0
29,'C835284421','2','F','28007','M1535107174','28007','es_wellnessandbeauty',66.76,0
29,'C835284421','2','F','28007','M1748431652','28007','es_wellnessandbeauty',8.89,0
29,'C656405809','1','M','28007','M348934600','28007','es_transportation',10.27,0
29,'C1278181986','2','F','28007','M348934600','28007','es_transportation',0.49,0
29,'C1591587046','3','M','28007','M348934600','28007','es_transportation',34.39,0
29,'C117112395','3','F','28007','M348934600','28007','es_transportation',64.96,0
29,'C1948527523','5','M','28007','M348934600','28007','es_transportation',53.6,0
29,'C529033504','2','M','28007','M1888755466','28007','es_otherservices',108.71,0
29,'C823678601','2','F','28007','M348934600','28007','es_transportation',32.19,0
29,'C364635096','2','F','28007','M1823072687','28007','es_transportation',28.05,0
29,'C1232523772','1','M','28007','M348934600','28007','es_transportation',29.42,0
29,'C1558014544','3','M','28007','M348934600','28007','es_transportation',64.11,0
29,'C849342403','3','F','28007','M855959430','28007','es_hyper',28.75,0
29,'C299858046','2','F','28007','M348934600','28007','es_transportation',18.46,0
29,'C26746445','5','M','28007','M151143676','28007','es_barsandrestaurants',51.18,0
29,'C251630036','4','F','28007','M348934600','28007','es_transportation',19.88,0
29,'C671449181','3','F','28007','M480139044','28007','es_health',66.09,0
29,'C1577104524','2','M','28007','M348934600','28007','es_transportation',43.9,0
29,'C1047521541','5','M','28007','M1823072687','28007','es_transportation',41.27,0
29,'C1735092211','3','F','28007','M348934600','28007','es_transportation',22.53,0
29,'C1122835446','2','F','28007','M1823072687','28007','es_transportation',5.65,0
29,'C1929167055','4','M','28007','M1823072687','28007','es_transportation',52.45,0
29,'C1502804084','2','F','28007','M85975013','28007','es_food',66.3,0
